540.0,0.0,0.0,162.0,2.5,1040.0,676.0,79.99,28
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,61.89,28
332.5,142.5,0.0,228.0,0.0,932.0,594.0,40.27,270
332.5,142.5,0.0,228.0,0.0,932.0,594.0,41.05,365
198.6,132.4,0.0,192.0,0.0,978.4,825.5,44.30,360
266.0,114.0,0.0,228.0,0.0,932.0,670.0,47.03,90
380.0,95.0,0.0,228.0,0.0,932.0,594.0,43.70,365
380.0,95.0,0.0,228.0,0.0,932.0,594.0,36.45,28
266.0,114.0,0.0,228.0,0.0,932.0,670.0,45.85,28
475.0,0.0,0.0,228.0,0.0,932.0,594.0,39.29,28
198.6,132.4,0.0,192.0,0.0,978.4,825.5,38.07,90
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.02,28
427.5,47.5,0.0,228.0,0.0,932.0,594.0,43.01,270
190.0,190.0,0.0,228.0,0.0,932.0,670.0,42.33,90
304.0,76.0,0.0,228.0,0.0,932.0,670.0,47.81,28
380.0,0.0,0.0,228.0,0.0,932.0,670.0,52.91,90
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,39.36,90
342.0,38.0,0.0,228.0,0.0,932.0,670.0,56.14,365
380.0,95.0,0.0,228.0,0.0,932.0,594.0,40.56,90
475.0,0.0,0.0,228.0,0.0,932.0,594.0,42.62,180
427.5,47.5,0.0,228.0,0.0,932.0,594.0,41.84,180
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.24,28
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,8.06,3
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,44.21,180
380.0,0.0,0.0,228.0,0.0,932.0,670.0,52.52,365
380.0,0.0,0.0,228.0,0.0,932.0,670.0,53.30,270
380.0,95.0,0.0,228.0,0.0,932.0,594.0,41.15,270
342.0,38.0,0.0,228.0,0.0,932.0,670.0,52.12,180
427.5,47.5,0.0,228.0,0.0,932.0,594.0,37.43,28
475.0,0.0,0.0,228.0,0.0,932.0,594.0,38.60,7
304.0,76.0,0.0,228.0,0.0,932.0,670.0,55.26,365
266.0,114.0,0.0,228.0,0.0,932.0,670.0,52.91,365
198.6,132.4,0.0,192.0,0.0,978.4,825.5,41.72,180
